iter	RMSE
0	4963.800733
1	4930.330064
2	4897.176423
3	4865.82217
4	4838.011689
5	4806.098784
6	4774.954042
7	4746.191376
8	4719.387282
9	4689.380355
10	4659.014592
11	4630.767936
12	4600.666963
13	4570.37889
14	4543.283884
15	4515.277606
16	4487.181924
17	4460.878042
18	4433.438367
19	4406.160511
20	4380.014057
21	4357.107268
22	4332.516655
23	4308.511627
24	4283.904005
25	4261.576629
26	4235.846527
27	4208.819889
28	4183.08111
29	4158.284924
30	4133.683537
31	4110.508509
32	4086.424978
33	4063.080549
34	4039.808746
35	4017.518828
36	3995.204158
37	3971.470257
38	3949.386003
39	3927.099361
40	3906.996702
41	3885.643718
42	3863.932193
43	3844.329926
44	3822.840517
45	3803.258777
46	3784.298618
47	3763.321214
48	3741.991499
49	3723.406938
50	3704.806999
51	3686.545411
52	3666.318339
53	3647.255432
54	3627.283898
55	3607.9763
56	3589.366518
57	3570.557015
58	3552.269963
59	3535.226777
60	3518.653605
61	3501.623333
62	3484.267578
63	3467.500138
64	3450.81195
65	3433.72723
66	3417.57091
67	3401.697051
68	3386.855396
69	3370.079978
70	3354.532604
71	3337.895446
72	3322.919906
73	3306.850215
74	3291.762801
75	3275.02781
76	3258.907717
77	3244.125549
78	3229.098529
79	3215.586387
80	3201.223517
81	3187.27676
82	3171.894951
83	3158.623735
84	3144.354145
85	3131.4816
86	3117.242739
87	3105.255358
88	3091.555039
89	3078.339222
90	3065.272858
91	3052.559635
92	3041.058206
93	3029.3762
94	3015.365689
95	3002.509818
96	2990.076678
97	2978.228343
98	2965.020902
99	2952.974963
100	2941.076657
101	2929.629081
102	2918.005024
103	2906.29244
104	2894.741339
105	2883.750978
106	2873.455633
107	2862.260518
108	2851.130874
109	2839.26219
110	2829.689949
111	2818.929657
112	2809.048367
113	2799.124341
114	2789.292997
115	2779.120596
116	2768.906021
117	2758.670058
118	2749.092466
119	2738.114061
120	2729.032736
121	2719.703806
122	2710.506679
123	2700.919088
124	2691.737237
125	2682.244881
126	2672.533315
127	2662.527387
128	2654.29736
129	2645.065816
130	2636.87406
131	2627.575125
132	2618.80423
133	2609.264596
134	2600.669423
135	2591.941368
136	2583.204612
137	2575.058598
138	2566.361168
139	2557.728098
140	2550.125383
141	2541.9972
142	2533.191966
143	2524.644922
144	2517.749376
145	2509.891827
146	2502.142468
147	2493.66473
148	2485.954279
149	2478.131953
150	2470.991507
151	2462.859059
152	2455.917476
153	2447.865205
154	2440.610619
155	2433.317037
156	2425.608998
157	2418.458449
158	2411.507889
159	2404.666007
160	2397.601589
161	2390.353541
162	2383.58919
163	2376.75078
164	2369.492233
165	2362.243825
166	2355.239301
167	2348.787032
168	2341.775646
169	2336.17465
170	2330.143157
171	2324.233645
172	2318.257268
173	2311.973435
174	2305.982124
175	2299.594336
176	2293.707038
177	2287.856751
178	2282.427811
179	2276.139967
180	2270.113377
181	2264.322227
182	2258.854539
183	2253.065008
184	2247.674443
185	2242.200739
186	2237.009088
187	2231.293047
188	2224.982595
189	2219.144621
190	2213.835815
191	2208.617623
192	2203.456239
193	2198.022183
194	2193.022582
195	2187.320019
196	2181.887825
197	2177.151923
198	2172.253704
199	2167.150206
200	2161.528409
201	2156.261291
202	2151.354498
203	2145.725134
204	2141.460849
205	2136.721436
206	2131.725772
207	2127.161262
208	2122.567893
209	2117.28249
210	2112.566124
211	2107.811123
212	2102.864024
213	2098.516952
214	2093.809682
215	2089.010423
216	2084.83222
217	2080.559016
218	2075.857693
219	2071.417436
220	2066.989398
221	2062.559013
222	2058.251913
223	2053.689456
224	2049.907062
225	2044.828419
226	2040.060248
227	2035.98216
228	2031.537458
229	2027.125253
230	2022.807646
231	2018.87212
232	2015.050323
233	2011.094967
234	2007.14977
235	2003.36197
236	1999.27452
237	1994.458697
238	1990.578861
239	1986.107875
240	1982.076806
241	1978.432306
242	1974.34286
243	1970.126034
244	1966.542662
245	1962.757744
246	1959.006707
247	1954.715117
248	1950.385934
249	1946.65849
250	1942.798894
251	1939.336413
252	1935.551553
253	1932.309812
254	1929.049331
255	1925.317916
256	1921.470307
257	1917.541646
258	1913.893321
259	1910.406816
260	1906.514034
261	1902.453292
262	1898.907157
263	1895.551907
264	1892.086832
265	1888.937324
266	1885.509583
267	1881.9733
268	1878.371939
269	1874.751183
270	1871.8246
271	1868.356684
272	1865.100205
273	1861.922682
274	1858.350553
275	1854.780001
276	1851.309189
277	1848.023166
278	1844.736647
279	1841.096423
280	1837.85776
281	1834.571364
282	1831.545168
283	1828.679218
284	1825.648804
285	1822.184581
286	1819.543823
287	1816.416362
288	1813.260824
289	1810.203873
290	1806.83924
291	1804.451735
292	1801.462418
293	1798.674827
294	1795.241718
295	1791.753444
296	1788.620923
297	1785.906592
298	1783.109947
299	1780.306722
300	1777.331909
301	1774.346241
302	1770.778822
303	1767.894726
304	1765.057712
305	1761.897572
306	1759.145861
307	1755.524052
308	1752.94136
309	1750.316991
310	1747.445266
311	1744.888573
312	1742.035233
313	1739.454101
314	1736.448749
315	1733.78533
316	1730.899014
317	1728.080531
318	1725.418108
319	1722.591977
320	1720.413611
321	1717.209192
322	1714.117596
323	1711.012526
324	1708.826994
325	1706.501864
326	1703.584746
327	1701.24201
328	1698.557724
329	1695.544805
330	1693.328934
331	1690.974526
332	1688.180725
333	1685.266428
334	1682.512216
335	1679.922429
336	1677.363745
337	1675.372779
338	1673.299166
339	1670.89634
340	1668.060874
341	1665.775865
342	1663.395302
343	1660.727774
344	1658.337805
345	1656.084257
346	1653.264683
347	1650.706506
348	1648.12643
349	1645.944884
350	1643.491598
351	1640.906485
352	1638.202206
353	1636.031623
354	1633.887484
355	1631.545151
356	1628.901187
357	1626.301787
358	1624.106736
359	1621.856437
360	1619.731499
361	1617.702351
362	1615.668492
363	1613.101347
364	1610.989146
365	1608.341483
366	1605.519376
367	1603.358103
368	1601.256387
369	1598.882297
370	1596.762283
371	1594.797462
372	1592.707079
373	1590.611491
374	1588.680059
375	1586.84162
376	1584.480032
377	1582.5317
378	1580.666781
379	1578.800426
380	1576.706448
381	1574.700602
382	1572.420024
383	1570.931521
384	1568.881562
385	1566.838129
386	1564.717517
387	1562.806002
388	1560.703152
389	1558.638384
390	1556.540676
391	1554.575465
392	1552.521797
393	1550.436815
394	1548.383224
395	1546.59812
396	1544.457649
397	1542.663878
398	1540.807834
399	1538.939455
400	1537.190037
401	1535.702031
402	1533.864341
403	1531.702708
404	1530.096879
405	1528.260092
406	1526.491756
407	1524.582222
408	1522.693805
409	1521.09782
410	1519.185338
411	1517.511825
412	1515.357091
413	1513.151231
414	1511.299951
415	1509.685757
416	1507.400176
417	1505.673495
418	1503.88758
419	1502.431723
420	1500.575741
421	1498.526332
422	1496.94112
423	1495.371666
424	1493.545708
425	1491.609906
426	1489.860442
427	1488.140724
428	1486.187921
429	1484.822249
430	1483.048169
431	1481.398145
432	1479.681717
433	1478.284066
434	1476.718712
435	1475.128564
436	1473.909795
437	1472.162762
438	1470.446256
439	1468.611305
440	1467.241234
441	1465.522678
442	1463.933141
443	1462.073627
444	1460.296812
445	1458.270776
446	1457.017807
447	1455.239163
448	1453.325026
449	1451.632525
450	1449.989709
451	1448.438464
452	1447.014739
453	1445.561653
454	1444.252039
455	1443.129545
456	1441.561512
457	1439.750569
458	1438.016245
459	1436.048824
460	1434.526886
461	1432.808416
462	1431.153498
463	1429.344407
464	1428.099482
465	1426.417474
466	1425.027549
467	1423.613659
468	1421.781362
469	1420.177795
470	1418.496783
471	1417.19652
472	1415.424456
473	1413.810407
474	1412.270255
475	1410.875052
476	1409.367316
477	1407.741975
478	1405.91052
479	1404.644817
480	1402.982813
481	1401.570413
482	1400.17561
483	1398.836325
484	1397.260689
485	1395.733629
486	1394.256719
487	1392.569428
488	1391.37075
489	1389.810641
490	1388.807886
491	1387.26623
492	1386.021363
493	1384.420381
494	1382.913971
495	1381.343681
496	1380.012412
497	1378.858899
498	1377.305483
499	1375.546484
500	1374.236416
501	1372.829799
502	1371.67237
503	1370.421473
504	1368.945127
505	1367.869957
506	1366.788791
507	1365.005347
508	1363.811304
509	1362.830955
510	1361.355534
511	1360.021799
512	1359.079022
513	1358.070224
514	1356.554802
515	1354.627104
516	1353.534822
517	1352.320536
518	1351.15745
519	1350.104971
520	1348.771926
521	1347.515375
522	1346.406548
523	1345.111168
524	1343.719374
525	1342.435112
526	1341.31787
527	1340.764601
528	1339.027817
529	1338.007615
530	1336.911366
531	1335.770014
532	1334.184881
533	1333.279165
534	1331.976648
535	1330.911089
536	1329.618073
537	1328.520006
538	1327.179604
539	1325.809794
540	1324.840206
541	1323.772538
542	1322.869957
543	1321.554225
544	1320.191672
545	1318.797809
546	1317.695294
547	1316.570673
548	1315.391758
549	1313.928084
550	1312.5386
551	1311.359231
552	1310.171381
553	1308.990655
554	1307.741499
555	1306.489303
556	1305.317047
557	1304.198386
558	1302.914002
559	1301.854697
560	1300.783953
561	1299.592015
562	1298.447458
563	1297.418798
564	1296.520698
565	1295.331044
566	1294.223208
567	1293.330213
568	1291.845809
569	1290.597611
570	1289.366741
571	1288.29936
572	1287.259491
573	1286.340208
574	1284.951218
575	1283.841854
576	1282.81129
577	1281.638264
578	1280.340372
579	1278.918396
580	1277.883831
