iter	Passed	Remaining
0	922	36907153
1	1697	33956093
2	1902	25366082
3	2704	27037821
4	3482	27854900
5	4244	28289118
6	5012	28640281
7	5714	28565813
8	6407	28473204
9	7074	28291816
10	7734	28119220
11	8429	28090433
12	9141	28118180
13	9810	28021016
14	10495	27977774
15	11193	27972587
16	11872	27924087
17	12594	27976122
18	13278	27940792
19	13943	27873424
20	14606	27807364
21	15275	27757942
22	15937	27700783
23	16605	27658801
24	17285	27640263
25	17948	27594933
26	18603	27542385
27	19282	27527460
28	19962	27514518
29	20637	27495856
30	21333	27505595
31	22055	27547391
32	22762	27568210
33	23494	27617325
34	24174	27603908
35	24835	27570430
36	25505	27547526
37	26178	27529913
38	26846	27508196
39	27522	27495009
40	28185	27469835
41	28857	27454881
42	29525	27435672
43	30192	27417827
44	30859	27400237
45	31535	27391060
46	32222	27391467
47	32884	27371205
48	33549	27353678
49	34241	27359278
50	34920	27353834
51	35592	27342974
52	36250	27322951
53	36931	27319630
54	37586	27298296
55	38248	27282291
56	38918	27272659
57	39582	27258633
58	40245	27245093
59	40905	27229406
60	41575	27221240
61	42252	27217125
62	42918	27206940
63	43585	27197309
64	44249	27186360
65	44935	27188508
66	45639	27201716
67	46303	27191298
68	46968	27181306
69	47633	27171398
70	48293	27159237
71	48966	27154478
72	49634	27147307
73	50299	27138812
74	50970	27133401
75	51641	27127833
76	52319	27126617
77	53000	27126581
78	53666	27119143
79	54347	27119624
80	55043	27127082
81	55720	27124976
82	56429	27138350
83	57121	27143426
84	57785	27135183
85	58481	27142265
86	59136	27130225
87	59797	27120878
88	60471	27117512
89	61140	27112542
90	61810	27107534
91	62479	27102391
92	63144	27095930
93	63818	27093159
94	64492	27090320
95	65161	27085530
96	65836	27083412
97	66544	27094494
98	67218	27091918
99	67987	27127054
100	68666	27126176
101	69448	27165319
102	70171	27180982
103	70859	27182845
104	71543	27183223
105	72222	27181422
106	72897	27178493
107	73628	27196173
108	73651	26954512
109	74386	26975150
110	75120	26995341
111	75856	27015795
112	76554	27022371
113	77247	27027290
114	77975	27044097
115	78665	27047374
116	79434	27077535
117	80133	27083810
118	80826	27087744
119	81529	27094812
120	82219	27097916
121	82931	27107753
122	83664	27124257
123	84368	27131275
124	85069	27137227
125	85763	27140624
126	86468	27147700
127	87179	27156438
128	87884	27163212
129	88594	27171334
130	89324	27185198
131	90031	27192161
132	90784	27212941
133	91511	27225370
134	92253	27242014
135	92964	27249644
136	93692	27261700
137	94391	27265442
138	95087	27268163
139	95779	27269719
140	96476	27272689
141	97193	27281157
142	97911	27289855
143	98628	27298175
144	99357	27309478
145	100069	27316114
146	100789	27324860
147	101543	27342562
148	102263	27351144
149	102992	27361568
150	103714	27370314
151	104438	27379370
152	105169	27390205
153	105870	27392953
154	106568	27394896
155	107300	27405761
156	107995	27406839
157	108692	27408362
158	109384	27408811
159	110082	27410534
160	110781	27412641
161	111485	27415838
162	112200	27421629
163	112954	27436852
164	113651	27438246
165	114352	27440436
166	115071	27446884
167	115764	27447202
168	116466	27449481
169	117183	27455422
170	117896	27460344
171	118595	27461645
172	119287	27461595
173	119990	27463925
174	120677	27462813
175	121409	27471748
176	122135	27479214
177	122825	27478360
178	123537	27482662
179	124266	27490601
180	125003	27500098
181	125714	27503944
182	126408	27503908
183	127107	27504917
184	127797	27503992
185	128495	27505016
186	129213	27509979
187	129909	27510511
188	130632	27516432
189	131326	27516417
190	132019	27516078
191	132721	27517523
192	133419	27518228
193	134119	27519440
194	134817	27520057
195	135592	27536325
196	136310	27540909
197	137007	27541303
198	137712	27543288
199	138418	27545310
200	139127	27547886
201	139832	27549688
202	140537	27551532
203	141232	27551487
204	141941	27553880
205	142646	27555657
206	143350	27557275
207	144059	27559667
208	144760	27560654
209	145463	27561870
210	146189	27567456
211	146927	27575174
212	147666	27583081
213	148394	27588965
214	149123	27594696
215	149852	27600666
216	150591	27608214
217	151312	27612515
218	152033	27616570
219	152768	27623352
220	153494	27628331
221	154204	27630413
222	154908	27631397
223	155613	27632581
224	156313	27632689
225	157012	27632882
226	157720	27634470
227	158433	27636968
228	159185	27646141
229	159900	27648834
230	160606	27650043
231	161313	27651291
232	162019	27652522
233	162722	27653026
234	163418	27652444
235	164114	27651896
236	164823	27653435
237	165543	27656946
238	166280	27663136
239	166984	27663694
240	167687	27664195
241	168399	27666149
242	169095	27665498
243	169829	27671075
244	170530	27671145
245	171245	27673553
246	171944	27673361
247	172651	27674362
248	173351	27674347
249	174051	27674151
250	174763	27675915
251	175482	27678941
252	176183	27678929
253	176902	27681829
254	177628	27685601
255	178336	27686692
256	179058	27689921
257	179766	27691045
258	180493	27694955
259	181212	27697683
260	181932	27700433
261	182655	27703736
262	183376	27706534
263	184096	27709327
264	184834	27714663
265	185550	27716772
266	186255	27717182
267	186974	27719726
268	187682	27720428
269	188386	27720747
270	189091	27721072
271	189811	27723615
272	190523	27725059
273	191242	27727313
274	192029	27739542
275	192753	27742578
276	193492	27747715
277	194203	27748733
278	194916	27750154
279	195626	27751027
280	196333	27751536
281	197046	27752796
282	197759	27754107
283	198462	27753954
284	199165	27753907
285	199873	27754488
286	200575	27754238
287	201303	27757546
288	202026	27760105
289	202796	27769171
290	203525	27772536
291	204257	27776254
292	205001	27781546
293	205725	27784133
294	206447	27786377
295	207180	27790186
296	207897	27791796
297	208609	27792678
298	209326	27794180
299	210030	27794074
300	210728	27793029
301	211440	27793912
302	212166	27796668
303	212889	27798888
304	213664	27807909
305	214422	27814689
306	215171	27820157
307	215897	27822769
308	216594	27821546
309	217299	27821360
310	217999	27820552
311	218732	27823887
312	219482	27829383
313	220218	27833132
314	220941	27835148
315	221653	27835710
316	222357	27835317
317	223064	27835393
318	223774	27835758
319	224495	27837491
320	225230	27840822
321	225944	27841755
322	226648	27841290
323	227360	27841882
324	228062	27841202
325	228775	27841800
326	229481	27841662
327	230191	27841992
328	230885	27840327
329	231592	27840230
330	232298	27840058
331	233021	27841822
332	233723	27841140
333	234429	27840926
334	235139	27841163
335	235841	27840525
336	236561	27841984
337	237264	27841379
338	237987	27843176
339	238686	27842098
340	239388	27841412
341	240101	27841949
342	240807	27841717
343	241538	27844297
344	242273	27847366
345	242976	27846815
346	243679	27846123
347	244384	27845805
348	245103	27846958
349	245819	27847867
350	246564	27851915
351	247364	27862251
352	248079	27862955
353	248791	27863190
354	249508	27864180
355	250222	27864667
356	250931	27864646
357	251643	27864985
358	252346	27864258
359	253072	27866111
360	253775	27865360
361	254479	27864815
362	255178	27863650
363	255882	27863073
364	256586	27862480
365	257306	27863639
366	258037	27865978
367	258798	27871483
368	259507	27871393
369	260219	27871591
370	260947	27873501
371	261674	27875382
372	262387	27875715
373	263110	27877042
374	263816	27876640
375	264523	27876265
376	265224	27875334
377	265933	27875229
378	266645	27875330
379	267354	27875273
380	268072	27876037
381	268786	27876348
382	269491	27875794
383	270218	27877573
384	270950	27879776
385	271665	27880222
386	272369	27879507
387	273064	27877925
388	273773	27877757
389	274485	27877902
390	275185	27876795
391	275891	27876258
392	276598	27875931
393	277300	27875043
394	278019	27875815
395	278727	27875547
396	279441	27875890
397	280161	27876753
398	280860	27875536
399	281560	27874482
400	282263	27873697
401	282965	27872776
402	283688	27874012
403	284395	27873606
404	285112	27874123
405	285816	27873491
406	286527	27873467
407	287257	27875204
408	287974	27875812
409	288731	27880197
410	289468	27882605
411	290201	27884721
412	290953	27888591
413	291729	27894726
414	292439	27894513
415	293159	27895208
416	293895	27897481
417	294621	27898820
418	295335	27898993
419	296033	27897621
420	296737	27896873
421	297437	27895662
422	298134	27894271
423	298844	27893997
424	299552	27893621
425	300260	27893216
426	300963	27892343
427	301668	27891647
428	302412	27894588
429	303128	27894873
430	303843	27895064
431	304555	27894984
432	305265	27894759
433	305974	27894454
434	306678	27893636
435	307381	27892774
436	308083	27891743
437	308801	27892284
438	309502	27891155
439	310213	27890986
440	310923	27890798
441	311634	27890584
442	312373	27892887
443	313119	27895827
444	313932	27904711
445	314644	27904574
446	315353	27904158
447	316064	27903969
448	316785	27904606
449	317492	27904067
450	318195	27903177
451	318913	27903494
452	319665	27906871
453	320429	27911272
454	321175	27914020
455	322033	27926486
456	322888	27938668
457	323624	27940565
458	324365	27942741
459	325172	27950672
460	326001	27960464
461	326741	27962606
462	327677	27981367
463	328475	27988345
464	329302	27997777
465	330085	28003460
466	330892	28011042
467	331619	28011931
468	332341	28012333
469	333079	28014089
470	333848	28018492
471	334605	28021802
472	335366	28025396
473	336237	28038200
474	337003	28042206
475	337729	28042923
476	338433	28041717
477	339146	28041288
478	339864	28041324
479	340595	28042324
480	341318	28042766
481	342023	28041690
482	342724	28040243
483	343430	28039265
484	344141	28038622
485	344851	28037971
486	345586	28039334
487	346310	28039816
488	347034	28040228
489	347824	28046022
490	348588	28049642
491	349363	28054198
492	350106	28056132
493	350832	28056628
494	351577	28058703
495	352320	28060606
496	353056	28061941
497	353750	28059953
498	354448	28058224
499	355195	28060442
500	355912	28060264
501	356677	28063809
502	357428	28066339
503	358295	28077876
504	359036	28079493
505	359763	28080017
506	360484	28080140
507	361182	28078388
508	361888	28077285
509	362586	28075603
510	363284	28073826
511	363985	28072348
512	364684	28070761
513	365383	28069136
514	366108	28069481
515	366806	28067822
516	367508	28066385
517	368218	28065661
518	368940	28065764
519	369654	28065280
520	370366	28064690
521	371066	28063158
522	371770	28061903
523	372487	28061646
524	373191	28060442
525	373894	28059170
526	374585	28056978
527	374607	28004737
528	375300	28002776
529	375998	28001280
530	376696	27999677
531	377397	27998378
532	378094	27996738
533	378792	27995160
534	379496	27994080
535	380196	27992674
536	380925	27993420
537	381642	27993274
538	382343	27991948
539	383044	27990637
540	383742	27989049
541	384434	27987081
542	385133	27985630
543	385826	27983800
544	386534	27982951
545	387232	27981474
546	387951	27981422
547	388664	27980973
548	389380	27980753
549	390082	27979582
550	390790	27978736
551	391501	27978189
552	392197	27976536
553	392907	27975851
554	393605	27974341
555	394304	27972903
556	394998	27971174
557	395693	27969430
558	396401	27968648
559	397103	27967424
560	397804	27966139
561	398507	27965019
562	399206	27963588
563	399906	27962253
564	400606	27960941
565	401307	27959677
566	402011	27958569
567	402718	27957715
568	403460	27959288
569	404196	27960445
570	404887	27958497
571	405590	27957355
572	406288	27955898
573	406987	27954505
574	407686	27953131
575	408385	27951731
576	409092	27950873
577	409824	27951729
578	410535	27951132
579	411276	27952590
580	411994	27952524
581	412694	27951194
582	413420	27951631
583	414135	27951302
584	414868	27952227
585	415574	27951318
586	416271	27949746
587	416971	27948419
588	417673	27947228
589	418392	27947223
590	419088	27945647
591	419788	27944269
592	420486	27942849
593	421180	27941129
594	421867	27938942
595	422574	27938157
596	423271	27936649
597	423973	27935457
598	424672	27934102
599	425394	27934243
600	426158	27937124
601	426878	27937169
602	427580	27935970
603	428277	27934448
604	428987	27933849
605	429688	27932589
606	430388	27931312
607	430391	27884861
608	431093	27883727
609	431792	27882479
610	432497	27881595
611	433229	27882405
612	433926	27880997
613	434616	27879173
614	435316	27877953
615	436014	27876642
616	436721	27875860
617	437417	27874389
618	438128	27873892
619	438834	27873078
620	439538	27872136
621	440238	27870929
622	440929	27869178
623	441640	27868623
624	442333	27867013
625	443035	27865968
626	443737	27864863
627	444442	27864018
628	445138	27862550
629	445833	27861028
630	446535	27859990
631	447234	27858732
632	447937	27857726
633	448694	27860119
634	449395	27858963
635	450095	27857826
636	450831	27858808
637	451542	27858315
638	452240	27857031
639	452946	27856192
640	453653	27855479
641	454353	27854260
642	455055	27853222
643	455758	27852217
644	456472	27851921
645	457198	27852303
646	457903	27851444
647	458603	27850281
648	459340	27851322
649	460060	27851372
650	460762	27850296
651	461465	27849280
652	462165	27848109
653	462871	27847300
654	463572	27846208
655	464265	27844597
656	464964	27843365
657	465671	27842644
658	466367	27841239
659	467068	27840136
660	467766	27838800
661	468466	27837656
662	469160	27836125
663	469873	27835768
664	470599	27836155
665	471316	27835995
666	472026	27835402
667	472750	27835665
668	473450	27834486
669	474151	27833420
670	474845	27831879
671	475544	27830656
672	476255	27830154
673	476976	27830228
674	477675	27829015
675	478375	27827856
676	479073	27826610
677	479769	27825216
678	480459	27823464
679	481165	27822659
680	481903	27823736
681	482661	27825922
682	483358	27824628
683	484060	27823581
684	484759	27822361
685	485453	27820871
686	486153	27819742
