ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,0.5M Æò±Õ ½Àµµ(%),1.5M Æò±Õ ½Àµµ(%),4.0M Æò±Õ ½Àµµ(%),10CM ÀÏ Åä¾ç¼öºÐ(%),20CM ÀÏ Åä¾ç¼öºÐ(%),30CM ÀÏ Åä¾ç¼öºÐ(%),50CM ÀÏ Åä¾ç¼öºÐ(%),´ëÇüÁõ¹ß·®(mm),¼ÒÇüÁõ¹ß·®(mm),0.5M Æò±Õ ±â¿Â(¡ÆC),1.5M Æò±Õ ±â¿Â(¡ÆC),4.0M Æò±Õ ±â¿Â(¡ÆC),1.5M Æò±Õ Ç³¼Ó(m/s),4.0M Æò±Õ Ç³¼Ó(m/s),Æò±Õ Áö¸é¿Âµµ(¡ÆC),ÃÖÀú ÃÊ»ó¿Âµµ(¡ÆC),5CM Æò±Õ ÁöÁß¿Âµµ(¡ÆC),30CM Æò±Õ ÁöÁß¿Âµµ(¡ÆC),0.5M ÀÏ ÁöÁß¿Âµµ(¡ÆC),1.0M ÀÏ ÁöÁß¿Âµµ(¡ÆC),1.5M ÀÏ ÁöÁß¿Âµµ(¡ÆC),3.0M ÀÏ ÁöÁß¿Âµµ(¡ÆC),5.0M ÀÏ ÁöÁß¿Âµµ(¡ÆC),ÀÏ ¼øº¹»ç(MJ/m2),ÀÏ ÀüÃµº¹»ç(MJ/m2),ÀÏ ¹Ý»çº¹»ç(MJ/m2),ÀÏ Æò±Õ Á¶µµ(10lux),ÀÏ ÁöÇÏ¼öÀ§(cm)
119,¼ö¿ø(³ó),2014-04-29,61,59,58,9,25,35,35,2.5,3.3,15.7,15.8,15.7,1.1,1.7,15.8,,15.3,15.2,15.3,14.6,12.9,12,13.5,15.15,17.54,2.39,2051.3,2987
119,¼ö¿ø(³ó),2014-04-30,57,53,53,8,20,26,32,3.5,3.9,,16.1,,.7,1.1,16.6,,16.2,15.6,15.3,14.3,13,12,13.5,19.26,22.38,3.12,2309.8,2976
119,¼ö¿ø(³ó),2014-05-01,,,,7,19,23,29,3.7,5.1,,,,,,,,,,15.7,14.3,13.1,12.1,13.4,27,31.35,4.35,,2975
119,¼ö¿ø(³ó),2014-05-02,,,,,,,,2.8,3.7,,,,,,,,,,15.9,14.4,13.2,12.1,13.4,18.19,21.69,3.5,,2976
119,¼ö¿ø(³ó),2014-05-03,,,,,,,,4,5.5,,,,,,,,,,15.9,14.5,13.3,12.2,13.4,29.78,35.19,5.41,,2973
119,¼ö¿ø(³ó),2014-05-04,53,50,50,6,16,20,21,4,4.9,,12.5,,1.1,1.4,15.1,,15.5,15.6,15.9,14.6,13.3,12.2,13.4,19.7,23.55,3.85,2315.1,2974
119,¼ö¿ø(³ó),2014-05-05,47,46,46,6,15,19,21,3.3,5.4,,11.4,,1.3,1.9,14.8,,14.7,15,15.6,14.6,13.4,12.3,13.4,29.18,34.88,5.7,3397,2973
119,¼ö¿ø(³ó),2014-05-06,49,47,47,6,15,18,21,4.4,5.7,,12.6,,.8,1.2,15.6,,15.5,15.2,15.5,14.6,13.5,12.3,13.4,28.64,34.26,5.62,3509,2974
119,¼ö¿ø(³ó),2014-05-07,42,40,39,6,14,18,21,4,5.2,,15.7,,.9,1.2,16,,15.8,15.4,15.6,14.6,13.6,12.6,13.4,25.59,30.8,5.21,3222.5,2973
119,¼ö¿ø(³ó),2014-05-08,83,81,79,7,16,18,20,2.3,2.5,13.1,13.1,13.1,1,1.4,16.2,,16.5,15.9,15.9,14.6,13.6,12.4,13.4,14.33,16.51,2.18,2270.9,
