지역_아이디,지역_이름,주산지_작물_특성_아이디,주산지_작물_특성_이름,주산지_작물명
4211000000,춘천,PA360101,애호박,호박
4211000000,춘천,PA360201,쥬키니,호박
4272000000,홍천,PA360101,애호박,호박
4272000000,홍천,PA360201,쥬키니,호박
4278000000,철원,PA360201,쥬키니,호박
4282000000,고성,PA360101,애호박,호박
4311100000,청주,PA360101,애호박,호박
4423000000,논산,PA360201,쥬키니,호박
4476000000,부여,PA360101,애호박,호박
4817000000,진주,PA360101,애호박,호박
4817000000,진주,PA360201,쥬키니,호박
4161000000,광주,PA350101,풋고추,풋고추
4161000000,광주,PA350301,청양고추,풋고추
4211000000,춘천,PA350101,풋고추,풋고추
4211000000,춘천,PA350201,꽈리고추,풋고추
4211000000,춘천,PA350301,청양고추,풋고추
4219000000,태백,PA350301,청양고추,풋고추
4276000000,평창,PA350201,꽈리고추,풋고추
4277000000,정선,PA350301,청양고추,풋고추
4279000000,화천,PA350301,청양고추,풋고추
4415000000,공주,PA350101,풋고추,풋고추
4427000000,당진,PA350201,꽈리고추,풋고추
4476000000,부여,PA350301,청양고추,풋고추
4481000000,예산,PA350201,꽈리고추,풋고추
4617000000,나주,PA350101,풋고추,풋고추
4817000000,진주,PA350101,풋고추,풋고추
4817000000,진주,PA350201,꽈리고추,풋고추
4817000000,진주,PA350301,청양고추,풋고추
4827000000,밀양,PA350101,풋고추,풋고추
4827000000,밀양,PA350201,꽈리고추,풋고추
4827000000,밀양,PA350301,청양고추,풋고추
4127100000,안산,PA340101,캠벨얼리,포도
4139000000,시흥,PA340101,캠벨얼리,포도
4155000000,안성,PA340101,캠벨얼리,포도
4157000000,김포,PA340101,캠벨얼리,포도
4159000000,화성,PA340101,캠벨얼리,포도
4165000000,포천,PA340101,캠벨얼리,포도
4182000000,가평,PA340101,캠벨얼리,포도
4211000000,춘천,PA340101,캠벨얼리,포도
4213000000,원주,PA340101,캠벨얼리,포도
4272000000,홍천,PA340101,캠벨얼리,포도
4273000000,횡성,PA340101,캠벨얼리,포도
4275000000,영월,PA340101,캠벨얼리,포도
4373000000,옥천,PA340101,캠벨얼리,포도
4374000000,영동,PA340101,캠벨얼리,포도
4413100000,천안,PA340101,캠벨얼리,포도
4471000000,금산,PA340101,캠벨얼리,포도
4688000000,장성,PA340101,캠벨얼리,포도
4715000000,김천,PA340101,캠벨얼리,포도
4723000000,영천,PA340101,캠벨얼리,포도
4725000000,상주,PA340101,캠벨얼리,포도
4729000000,경산,PA340101,캠벨얼리,포도
4831000000,거제,PA340101,캠벨얼리,포도
4873000000,함안,PA340101,캠벨얼리,포도
5013000000,서귀포,PA340101,캠벨얼리,포도
4272000000,홍천,PA330101,적두,팥
4273000000,횡성,PA330101,적두,팥
4275000000,영월,PA330101,적두,팥
4277000000,정선,PA330101,적두,팥
4315000000,제천,PA330101,적두,팥
4886000000,산청,PA330101,적두,팥
4887000000,함양,PA330101,적두,팥
4888000000,거창,PA330101,적두,팥
4148000000,파주,PA320101,백태,콩
4180000000,연천,PA320101,백태,콩
4275000000,영월,PA320101,백태,콩
4277000000,정선,PA320101,백태,콩
4313000000,충주,PA320101,백태,콩
4315000000,제천,PA320101,백태,콩
4684000000,무안,PA320101,백태,콩
4717000000,안동,PA320101,백태,콩
4793000000,울진,PA320101,백태,콩
5011000000,제주,PA320101,백태,콩
4615000000,순천,PA310101,-,참다래
4623000000,광양,PA310101,-,참다래
4672000000,곡성,PA310101,-,참다래
4677000000,고흥,PA310101,-,참다래
4678000000,보성,PA310101,-,참다래
4811000000,창원,PA310101,-,참다래
4822000000,통영,PA310101,-,참다래
4824000000,사천,PA310101,-,참다래
4882000000,고성,PA310101,-,참다래
5011000000,제주,PA310101,-,참다래
4313000000,충주,PA300101,-,참깨
4682000000,해남,PA300101,-,참깨
4684000000,무안,PA300101,-,참깨
4691000000,신안,PA300101,-,참깨
4717000000,안동,PA300101,-,참깨
4773000000,의성,PA300101,-,참깨
4790000000,예천,PA300101,-,참깨
5011000000,제주,PA300101,-,참깨
4420000000,아산,PA290101,-,쪽파
4477000000,서천,PA290101,-,쪽파
4481000000,예산,PA290101,-,쪽파
4678000000,보성,PA290101,-,쪽파
4680000000,장흥,PA290101,-,쪽파
4790000000,예천,PA290101,-,쪽파
5011000000,제주,PA290101,-,쪽파
4122000000,평택,PA280201,다다기계통,오이
4146100000,용인,PA280201,다다기계통,오이
4155000000,안성,PA280201,다다기계통,오이
4159000000,화성,PA280201,다다기계통,오이
4180000000,연천,PA280201,다다기계통,오이
4211000000,춘천,PA280201,다다기계통,오이
4273000000,횡성,PA280301,취청,오이
4279000000,화천,PA280201,다다기계통,오이
4311100000,청주,PA280301,취청,오이
4375000000,진천,PA280201,다다기계통,오이
4375000000,진천,PA280301,취청,오이
4413100000,천안,PA280201,다다기계통,오이
4413100000,천안,PA280301,취청,오이
4415000000,공주,PA280201,다다기계통,오이
4420000000,아산,PA280201,다다기계통,오이
4476000000,부여,PA280201,다다기계통,오이
4575000000,임실,PA280301,취청,오이
4615000000,순천,PA280301,취청,오이
4673000000,구례,PA280301,취청,오이
4725000000,상주,PA280201,다다기계통,오이
4772000000,군위,PA280201,다다기계통,오이
4817000000,진주,PA280201,다다기계통,오이
4825000000,김해,PA280101,가시계통,오이
4827000000,밀양,PA280101,가시계통,오이
4874000000,창녕,PA280101,가시계통,오이
5011000000,제주,PA280101,가시계통,오이
4128100000,고양,PA270101,-,열무
4131000000,구리,PA270101,-,열무
4136000000,남양주,PA270101,-,열무
4150000000,이천,PA270101,-,열무
4165000000,포천,PA270101,-,열무
4136000000,남양주,PA260101,-,얼갈이배추
4146100000,용인,PA260101,-,얼갈이배추
4150000000,이천,PA260101,-,얼갈이배추
4165000000,포천,PA260101,-,얼갈이배추
4677000000,고흥,PA250101,조생종,양파
4682000000,해남,PA250201,중만생종,양파
4684000000,무안,PA250101,조생종,양파
4684000000,무안,PA250201,중만생종,양파
4686000000,함평,PA250201,중만생종,양파
4691000000,신안,PA250201,중만생종,양파
4715000000,김천,PA250201,중만생종,양파
4723000000,영천,PA250201,중만생종,양파
4772000000,군위,PA250201,중만생종,양파
4773000000,의성,PA250201,중만생종,양파
4872000000,의령,PA250201,중만생종,양파
4874000000,창녕,PA250201,중만생종,양파
4887000000,함양,PA250201,중만생종,양파
4889000000,합천,PA250201,중만생종,양파
2711000000,중구,PA240101,봄,양배추
2714000000,동구,PA240101,봄,양배추
2717000000,서구,PA240101,봄,양배추
2720000000,남구,PA240101,봄,양배추
2723000000,북구,PA240101,봄,양배추
2726000000,수성구,PA240101,봄,양배추
2729000000,달서구,PA240101,봄,양배추
2771000000,달성군,PA240101,봄,양배추
4272000000,홍천,PA240201,고랭지,양배추
4276000000,평창,PA240201,고랭지,양배추
4277000000,정선,PA240201,고랭지,양배추
4421000000,서산,PA240101,봄,양배추
4421000000,서산,PA240301,가을,양배추
4677000000,고흥,PA240101,봄,양배추
4680000000,장흥,PA240301,가을,양배추
4682000000,해남,PA240301,가을,양배추
4682000000,해남,PA240401,겨울,양배추
4684000000,무안,PA240301,가을,양배추
4684000000,무안,PA240401,겨울,양배추
4690000000,진도,PA240301,가을,양배추
4690000000,진도,PA240401,겨울,양배추
4719000000,구미,PA240101,봄,양배추
4775000000,청송,PA240201,고랭지,양배추
4776000000,영양,PA240201,고랭지,양배추
4825000000,김해,PA240101,봄,양배추
4827000000,밀양,PA240101,봄,양배추
5011000000,제주,PA240401,겨울,양배추
5013000000,서귀포,PA240401,겨울,양배추
4122000000,평택,PA230101,일반계,쌀
4128100000,고양,PA230101,일반계,쌀
4146100000,용인,PA230101,일반계,쌀
4148000000,파주,PA230101,일반계,쌀
4150000000,이천,PA230101,일반계,쌀
4157000000,김포,PA230101,일반계,쌀
4159000000,화성,PA230101,일반계,쌀
