date,crop,price,temp,high_temp,low_temp,rain,wind,humidity,sunshine,sunlight,product,KRW/USD
2014-01-02,배추,4600,2.6,9.1,-2.2,0.0,1.6,49.0,8.4,9.32,2538804.0,1050.3
2014-01-03,배추,4500,2.6,10.1,-3.2,0.0,1.2,54.0,4.9,6.45,2538804.0,1055.0
2014-01-06,배추,4650,0.2,7.6,-5.1,0.0,1.1,59.0,8.4,8.88,2538804.0,1065.01
2014-01-07,배추,4650,1.9,7.8,-4.3,0.0,1.1,60.0,3.4,5.89,2538804.0,1068.5
2014-01-08,배추,4650,2.1,5.3,-1.4,1.8,2.4,65.0,1.3,3.45,2538804.0,1065.45
2014-01-09,배추,4650,-4.4,-0.6,-8.1,0.0,3.6,34.0,8.9,10.64,2538804.0,1062.89
2014-01-10,배추,4650,-3.7,2.0,-9.6,0.0,1.8,56.0,7.0,8.05,2538804.0,1061.32
2014-01-13,배추,4800,-3.9,1.5,-8.4,0.0,2.3,38.0,9.0,11.42,2538804.0,1056.7
2014-01-14,배추,4800,-3.4,3.4,-9.3,0.0,1.8,43.0,9.0,10.55,2538804.0,1059.43
2014-01-15,배추,4800,-2.3,4.3,-8.1,0.0,1.8,50.0,8.9,10.64,2538804.0,1062.6
2014-01-16,배추,4800,-0.9,5.2,-6.6,0.0,1.5,62.0,5.8,7.25,2538804.0,1063.0
2014-01-17,배추,4700,-0.1,5.9,-5.0,0.0,1.2,64.0,6.5,7.5,2538804.0,1060.8
2014-01-20,배추,4700,1.0,5.5,-2.2,1.5,2.4,69.0,2.6,4.73,2538804.0,
2014-01-21,배추,4600,-2.9,-0.1,-5.5,1.4,3.0,66.0,3.9,6.15,2538804.0,1065.05
2014-01-22,배추,4600,-2.7,3.4,-8.0,0.0,2.0,60.0,8.8,10.59,2538804.0,1067.3
2014-01-23,배추,4500,-1.0,7.1,-7.5,0.0,1.3,62.0,8.8,11.15,2538804.0,1073.1
2014-01-24,배추,4500,4.0,10.7,-3.5,0.0,1.9,66.0,4.3,6.54,2538804.0,1080.1
2014-01-27,배추,4500,0.7,8.9,-7.0,0.0,1.7,56.0,9.2,11.26,2538804.0,1083.7
2014-01-28,배추,4500,3.0,9.3,-3.1,0.1,2.2,57.0,7.5,9.73,2538804.0,1079.14
2014-01-29,배추,4300,3.0,11.5,-6.4,0.7,1.4,51.0,7.7,11.52,2538804.0,1069.8
2014-02-03,배추,4300,1.8,7.3,-4.5,0.0,3.6,50.0,4.8,8.32,2538804.0,1084.25
2014-02-04,배추,4400,-4.9,-0.7,-8.1,0.0,3.7,35.0,9.6,13.4,2538804.0,1083.7
2014-02-05,배추,4300,-3.8,1.4,-8.1,0.0,1.7,40.0,5.6,10.04,2538804.0,1077.6
2014-02-06,배추,4300,-0.5,4.5,-4.8,0.3,1.7,52.0,3.8,8.39,2538804.0,1078.8
2014-02-07,배추,4300,2.6,6.7,-1.8,2.8,2.6,66.0,1.7,6.09,2538804.0,1073.83
2014-02-10,배추,4300,0.1,3.4,-2.6,2.2,2.4,72.0,2.9,7.87,2538804.0,1072.3
2014-02-11,배추,4200,0.1,5.3,-4.2,0.6,2.1,63.0,7.4,12.62,2538804.0,1070.8
2014-02-12,배추,4100,0.9,6.5,-3.3,0.4,1.7,65.0,5.9,10.64,2538804.0,1062.14
2014-02-13,배추,4100,1.6,6.0,-2.7,2.1,2.0,68.0,3.6,8.61,2538804.0,1066.2
2014-02-14,배추,4100,1.9,6.0,-1.6,0.2,2.3,63.0,4.7,8.59,2538804.0,1062.9
2014-02-17,배추,4100,4.1,8.3,0.7,2.5,2.0,66.0,1.4,6.31,2538804.0,
2014-02-18,배추,4100,2.4,5.6,-0.7,0.5,2.8,61.0,2.3,7.97,2538804.0,1065.54
2014-02-19,배추,4000,1.6,6.7,-2.8,0.1,1.8,60.0,6.1,10.67,2538804.0,1065.25
2014-02-20,배추,4000,1.5,7.5,-3.8,0.0,1.8,64.0,7.6,12.15,2538804.0,1072.0
2014-02-21,배추,4000,1.1,7.9,-4.4,0.0,1.7,57.0,9.2,14.67,2538804.0,1072.15
2014-02-24,배추,3960,4.2,12.0,-2.5,0.0,1.3,61.0,7.8,12.15,2538804.0,1074.0
2014-02-25,배추,3960,5.6,13.6,-1.3,0.0,1.3,61.0,7.6,12.42,2538804.0,1072.78
2014-02-26,배추,3720,6.2,11.5,1.2,4.1,1.4,72.0,2.9,7.22,2538804.0,1065.72
2014-02-27,배추,3620,8.6,15.5,3.4,0.2,1.9,68.0,7.2,12.62,2538804.0,1068.85
2014-02-28,배추,3620,7.1,11.8,3.1,0.1,1.9,68.0,2.4,9.23,2538804.0,1066.01
2014-03-03,배추,3620,4.3,11.6,-2.4,0.0,1.6,52.0,10.1,16.57,2538804.0,1069.9
2014-03-04,배추,3620,5.1,11.4,-1.1,0.2,1.5,57.0,4.0,10.48,2538804.0,1071.2
2014-03-05,배추,3620,3.1,8.0,-0.7,0.7,3.7,45.0,8.6,16.41,2538804.0,1070.85
2014-03-06,배추,3620,1.4,6.5,-4.1,0.0,2.7,39.0,9.5,15.19,2538804.0,1064.1
2014-03-07,배추,3600,1.3,6.3,-3.8,0.0,3.0,35.0,10.5,18.09,2538804.0,1064.2
2014-03-10,배추,3600,2.0,8.8,-4.4,0.0,2.3,45.0,10.9,18.63,2538804.0,1066.5
2014-03-11,배추,3600,5.0,13.6,-3.6,0.0,2.0,48.0,8.5,15.59,2538804.0,1065.13
2014-03-12,배추,3600,5.8,9.3,0.5,23.0,1.5,79.0,0.7,3.06,2538804.0,1070.2
2014-03-13,배추,3600,4.2,7.6,1.4,8.8,3.0,80.0,0.4,4.47,2538804.0,1068.35
2014-03-14,배추,3600,3.3,8.4,-0.9,0.3,2.1,66.0,8.4,14.6,2538804.0,1071.33
2014-03-17,배추,3600,12.4,20.1,3.8,1.3,2.5,71.0,7.4,15.17,2538804.0,1067.15
2014-03-18,배추,3600,12.6,18.3,7.4,0.5,3.1,67.0,7.0,13.78,2538804.0,1068.5
2014-03-19,배추,3600,9.0,12.6,5.8,0.1,2.0,64.0,1.0,7.53,2538804.0,1070.53
2014-03-20,배추,3600,6.4,10.7,3.0,2.7,3.0,69.0,4.6,11.32,2538804.0,1076.28
2014-03-21,배추,3600,5.0,10.4,0.5,0.0,2.6,59.0,9.9,17.96,2538804.0,1079.6
2014-03-24,배추,3600,11.2,18.1,2.2,0.0,2.3,50.0,8.8,16.67,2538804.0,1077.7
2014-03-25,배추,3600,14.2,18.1,11.2,9.3,1.8,72.0,2.3,7.22,2538804.0,1078.67
2014-03-26,배추,3600,13.8,19.0,9.5,8.9,1.6,80.0,3.7,9.54,2538804.0,1074.97
2014-03-27,배추,3600,12.7,20.6,6.4,0.0,1.6,71.0,8.8,16.91,2538804.0,1071.65
2014-03-28,배추,3600,15.7,24.1,7.6,0.0,1.9,59.0,8.1,17.7,2538804.0,1068.85
2014-03-31,배추,3600,12.0,19.8,5.5,0.0,1.4,66.0,7.5,16.36,2538804.0,1064.65
2014-04-01,배추,3600,13.2,21.8,5.3,0.0,1.5,56.0,10.6,19.91,2538804.0,1058.3
2014-04-02,배추,3600,14.3,22.6,6.3,0.0,1.6,48.0,10.5,19.65,2538804.0,1057.2
2014-04-03,배추,3600,10.7,18.1,5.0,4.9,2.4,62.0,3.8,10.47,2538804.0,1057.5
2014-04-04,배추,3600,7.0,11.9,2.8,0.8,3.0,54.0,9.3,19.34,2538804.0,1053.85
2014-04-07,배추,3600,11.6,19.2,3.9,0.0,2.8,47.0,9.6,19.56,2538804.0,1055.17
2014-04-08,배추,3600,12.2,20.7,3.9,0.0,1.8,47.0,11.4,22.24,2538804.0,1052.1
2014-04-09,배추,3600,12.9,20.9,4.9,0.0,1.8,59.0,9.8,19.62,2538804.0,1041.25
2014-04-10,배추,3600,12.8,20.7,7.0,0.0,2.3,61.0,8.2,17.82,2538804.0,1039.9
2014-04-11,배추,3600,12.3,17.8,7.8,0.1,1.7,62.0,4.8,13.92,2538804.0,1035.4
2014-04-14,배추,3600,13.7,22.5,5.0,0.0,1.9,53.0,11.1,21.82,2538804.0,1039.29
2014-04-15,배추,3600,16.0,23.6,7.5,0.0,2.4,57.0,8.9,18.87,2538804.0,1041.07
2014-04-16,배추,3600,16.3,23.0,11.0,0.0,2.0,60.0,5.7,15.3,2538804.0,1038.2
2014-04-17,배추,3600,13.4,20.5,7.7,12.5,1.8,68.0,3.8,10.82,2538804.0,1038.0
