date,temp,high_temp,low_temp,rain,wind,humidity,sunshine,sunlight
2024-04-29,15.7,18.6,13.7,13.2,2.1,79,1.9,9.09
2024-04-28,18.2,26.7,10.2,0.0,1.5,64,10.6,24.04
2024-04-27,18.0,26.9,9.9,0.0,1.4,62,12.2,27.3
2024-04-26,16.6,24.4,10.3,0.0,1.2,69,7.0,20.17
2024-04-25,15.6,23.5,9.3,0.0,1.7,69,10.1,24.12
2024-04-24,13.1,17.3,9.9,5.0,2.0,81,3.8,13.77
2024-04-23,14.5,20.0,10.0,2.0,2.4,71,4.9,17.69
2024-04-22,15.7,19.8,12.5,0.1,2.0,71,2.5,14.05
2024-04-21,15.3,17.6,13.1,1.9,2.0,83,0.1,5.54
2024-04-20,14.1,16.2,12.6,11.2,1.9,85,0.0,3.74
2024-04-19,17.2,25.3,8.7,0.0,1.4,56,10.8,24.04
2024-04-18,15.9,23.7,8.3,0.0,1.5,61,11.3,24.8
2024-04-17,14.7,22.1,8.0,0.0,1.5,64,9.3,22.6
2024-04-16,14.9,20.3,10.6,0.6,2.1,75,6.6,18.19
2024-04-15,15.5,19.1,12.7,17.8,1.9,84,0.1,3.83
2024-04-14,18.5,26.5,9.5,0.0,1.6,55,10.7,23.39
2024-04-13,17.4,26.4,9.2,0.0,1.3,60,11.7,24.98
2024-04-12,15.9,24.1,8.4,0.0,1.3,66,10.4,23.07
2024-04-11,14.2,20.3,9.6,0.0,1.2,69,3.2,14.46
2024-04-10,12.5,18.8,6.1,0.0,1.7,62,8.4,19.7
2024-04-09,12.6,18.4,7.2,0.0,2.6,55,9.6,23.21
2024-04-08,15.6,22.6,8.6,0.0,1.2,54,3.5,14.25
2024-04-07,14.8,23.4,6.5,0.0,1.4,53,11.1,23.13
2024-04-06,12.5,19.3,6.5,0.0,1.2,66,6.0,15.65
2024-04-05,12.5,18.1,8.1,0.0,1.6,66,6.9,18.25
2024-04-04,12.4,15.9,9.8,0.5,1.8,73,1.6,10.74
2024-04-03,12.8,14.6,11.1,22.2,1.8,88,0.2,4.27
2024-04-02,13.9,22.2,5.5,5.5,1.5,59,7.0,18.8
2024-04-01,12.1,20.7,3.8,0.0,1.6,50,11.4,23.57
2024-03-31,10.7,18.1,3.2,0.0,1.4,57,8.9,20.71
2024-03-30,10.0,17.5,2.1,0.3,1.9,64,6.8,15.54
2024-03-29,9.9,15.4,4.6,0.2,2.8,72,5.2,11.96
2024-03-28,9.5,11.3,7.9,23.2,1.4,90,0.0,3.21
2024-03-27,9.0,15.7,2.1,0.0,1.3,76,7.9,18.53
2024-03-26,6.8,10.7,3.6,17.2,2.2,83,2.0,10.9
2024-03-25,9.5,12.6,6.8,9.9,2.6,78,0.1,4.16
2024-03-24,12.3,17.0,8.2,1.1,2.1,65,3.8,12.44
2024-03-23,13.7,20.3,9.0,0.5,1.8,68,8.6,20.33
2024-03-22,9.4,15.7,1.0,3.7,2.6,66,5.8,15.04
2024-03-21,4.4,11.1,-2.2,0.0,1.6,54,10.4,21.72
2024-03-20,4.5,8.9,0.7,0.6,3.3,51,8.6,18.61
2024-03-19,7.5,12.8,3.8,1.1,3.2,53,4.1,11.06
2024-03-18,7.4,14.2,0.0,0.0,1.8,45,10.2,21.02
2024-03-17,10.4,15.7,5.0,0.1,2.9,53,7.0,16.04
2024-03-16,10.8,19.1,1.7,0.0,1.5,52,8.7,18.76
2024-03-15,9.3,17.6,1.1,0.0,2.0,52,10.7,20.8
2024-03-14,7.6,15.5,0.5,0.0,1.8,55,10.1,19.89
2024-03-13,6.1,13.1,-0.7,0.0,2.0,60,10.3,20.39
2024-03-12,5.1,10.3,0.9,0.8,1.5,78,2.5,7.12
2024-03-11,5.9,11.8,-0.4,0.4,1.2,61,2.8,9.73
2024-03-10,3.9,11.7,-3.8,0.0,1.5,53,10.7,20.64
2024-03-09,1.9,7.9,-3.5,0.0,1.8,51,10.7,20.58
2024-03-08,3.1,8.2,-1.3,0.0,3.1,49,10.0,19.45
2024-03-07,4.0,8.0,0.6,0.3,1.9,67,3.8,10.81
2024-03-06,6.2,10.5,2.7,0.2,2.2,69,4.7,12.17
2024-03-05,6.1,8.4,4.4,4.3,2.2,80,0.2,3.43
2024-03-04,6.2,12.2,-0.2,0.2,1.2,63,6.7,14.96
2024-03-03,4.8,9.9,-0.4,0.5,2.2,67,6.0,13.15
2024-03-02,-0.8,4.8,-7.8,0.0,2.5,53,9.0,17.24
2024-03-01,-1.3,3.4,-5.3,0.0,3.9,42,9.8,18.71
2024-02-29,4.3,7.2,1.3,2.7,1.5,78,0.3,4.62
2024-02-28,5.0,10.9,-0.6,0.0,1.4,65,6.1,13.48
2024-02-27,3.9,8.6,-0.4,0.0,1.9,63,5.5,12.18
2024-02-26,3.6,8.9,-0.8,0.0,1.6,72,6.1,13.57
2024-02-25,3.0,6.3,0.5,1.7,1.4,86,0.9,6.6
2024-02-24,2.6,6.0,-0.1,2.7,2.2,72,1.9,8.09
2024-02-23,2.3,4.9,0.4,0.9,2.3,74,1.9,8.13
2024-02-22,2.0,3.4,1.0,5.0,2.7,85,0.0,3.38
2024-02-21,4.1,5.5,2.6,15.6,3.0,90,0.0,2.31
2024-02-20,5.8,8.8,4.0,6.5,2.3,89,0.0,2.03
2024-02-19,11.2,15.7,7.0,20.5,2.0,93,1.4,3.71
2024-02-18,7.5,13.4,-0.3,21.8,1.4,82,2.3,6.21
2024-02-17,4.5,13.0,-2.7,0.0,1.3,71,9.4,16.49
2024-02-16,2.4,8.3,-2.2,0.0,1.3,69,8.2,15.0
2024-02-15,6.0,13.3,0.8,4.5,2.2,83,1.4,3.63
2024-02-14,11.4,17.2,6.6,2.2,1.5,81,2.8,8.25
2024-02-13,8.0,15.7,0.0,0.0,2.0,67,8.3,13.98
2024-02-12,3.0,10.9,-3.9,0.0,1.3,63,9.6,15.8
2024-02-11,1.5,6.9,-3.9,0.0,2.0,65,6.6,11.69
2024-02-10,1.6,7.7,-3.5,0.0,1.5,66,7.7,12.26
2024-02-09,1.2,7.2,-3.8,0.0,1.6,66,8.2,13.85
2024-02-08,0.6,6.6,-4.1,0.0,1.2,72,8.8,14.09
2024-02-07,1.0,5.0,-2.2,0.0,1.5,71,5.4,10.37
2024-02-06,2.2,4.5,0.4,0.4,1.4,83,0.5,4.93
2024-02-05,3.8,6.0,1.7,12.7,2.8,86,0.1,3.39
2024-02-04,5.5,9.3,2.0,2.3,1.7,80,2.6,7.77
2024-02-03,3.9,7.8,-0.1,2.4,1.4,81,0.5,5.3
2024-02-02,3.2,7.7,0.2,0.3,1.4,74,3.8,9.56
2024-02-01,3.9,7.5,1.2,1.2,1.8,70,1.4,5.78
2024-01-31,5.6,12.6,0.4,0.5,1.2,64,6.4,11.67
2024-01-30,0.9,8.7,-5.9,0.1,1.0,65,8.1,12.87
2024-01-29,-0.7,5.8,-5.7,0.0,1.2,66,8.7,13.23
2024-01-28,-0.1,5.0,-4.0,0.0,1.7,63,7.6,11.86
2024-01-27,0.4,6.5,-4.5,0.0,1.5,63,8.6,12.93
2024-01-26,-1.0,5.2,-6.8,0.0,1.6,61,7.7,11.76
2024-01-25,-4.1,1.4,-9.5,0.0,2.0,53,9.1,13.14
